group,seed,n_params,mean_abs_pairwise_fisher_corr,max_abs_pairwise_fisher_corr,top_eig_frac_of_subblock,group_mean_ident_score
edge_prox,42,2,0.4951167380734667,0.4951167380734667,0.7475583690367834,6.155782844332684
edge_prox,1,2,0.737921372921758,0.737921372921758,0.8689606864608788,6.80330537063471
edge_prox,2,2,0.0884688040422554,0.0884688040422554,0.5442344020211467,11.338249275086499
edge_prox,3,2,0.6246118763088668,0.6246118763088668,0.8123059381544461,5.830811307687932
edge_prox,4,2,0.29290451768037834,0.29290451768037834,0.6464522588401765,15.372540241838749
edge_leaf,42,5,0.9975934750335653,0.9995581812381212,0.9980752929647997,3.368300051539717
edge_leaf,1,5,0.856886014992251,0.9613699298279854,0.8866993041578901,22.952929593573554
edge_leaf,2,5,0.4232563107633161,0.8610552694716164,0.5368920283479736,43.64449978841469
edge_leaf,3,5,0.9053855511202118,0.9756424483500661,0.9245684920579113,27.457477346162552
edge_leaf,4,5,0.6228086382319274,0.9380227187201148,0.7305518239661695,42.27998905515166
APD,42,8,0.12666132550014916,0.47255260513281644,0.22809708563721864,15.729458561692635
APD,1,8,0.1367955074510687,0.3986239305694035,0.22510138957519873,15.48553338875162
APD,2,8,0.11131654001700987,0.4362295678286866,0.217834599219174,14.809069273155963
APD,3,8,0.1097631885543443,0.7256317790230152,0.2364579009084616,16.496851982413787
APD,4,8,0.13999606139683118,0.616332825492954,0.281991326356326,17.237984315184825
tau_dep,42,8,0.12903606191726347,0.6247344255413646,0.2969581156656621,23.1145322232791
tau_dep,1,8,0.15024985114082348,0.6344278125658329,0.28731013110644443,21.063802831795957
tau_dep,2,8,0.16831972313222726,0.849486334706205,0.31751091310835666,22.756216912703035
tau_dep,3,8,0.16272896892112368,0.7893355056393649,0.31061331702926726,24.838803350157097
tau_dep,4,8,0.22006721994706263,0.8070614716363298,0.37677875149754364,24.657402522944025
tau_rep,42,8,0.0945688961491453,0.36096228227787985,0.20923581213669007,7.770156948393059
tau_rep,1,8,0.13275369654456234,0.44193992971558116,0.23876860644679404,8.015130203767718
tau_rep,2,8,0.1183457035681158,0.47176896085953607,0.2471190730213573,7.433759147815422
tau_rep,3,8,0.08968270555661141,0.6764045663902636,0.23796223007706388,8.470192267879765
tau_rep,4,8,0.16733548319738403,0.6528353007080879,0.2984052975205869,8.36196075185817
q,42,8,0.21111332136359184,0.7641836444102,0.34521898395288136,21.78978208508309
q,1,8,0.24642653285333244,0.7870853306191272,0.3555173404446276,18.947691766263063
q,2,8,0.22838161675675198,0.7700253413443657,0.2792496354992313,15.423432462446126
q,3,8,0.24237296816908013,0.964726767305518,0.3840306389285177,21.021814034040318
q,4,8,0.26077384368477985,0.8981564690613764,0.39055971709834025,16.827723529922693
alpha_ST,42,6,0.39879323710021986,0.7762768391439059,0.48537722296411584,0.3216597763661903
alpha_ST,1,6,0.3952786657403578,0.888399366523633,0.4539564205014479,0.33449752338732797
alpha_ST,2,6,0.36141712215020205,0.9376680953665437,0.41316287923099404,0.2628134184814199
alpha_ST,3,6,0.40897042647568693,0.9818022157470259,0.49993863087122903,0.32916997206461074
alpha_ST,4,6,0.4507294914440075,0.9260495440717434,0.5607667446634499,0.20694502097289758
