seed,pair,recon_feature,obs_feature,family,aggregation,unit,n,pearson_r,pearson_p,spearman_rho,spearman_p,recon_mean,recon_sd,obs_mean,obs_sd,ba_bias,ba_sd_diff,ba_loa_lower,ba_loa_upper,ba_loa_width,ba_bias_over_obs_sd,ba_loa_width_over_obs_sd,ba_prop_bias_slope
42,Tpeak_mean,Tpeak_mean,obs_Tpeak_mean,Tpeak,mean,mV,1594,0.86565602587603,0.0,0.9357155361094739,0.0,0.0997168328569103,0.07145580696775741,0.13912255188119824,0.09802591151105051,-0.03940571902428796,0.05087239651137232,-0.1391156161865777,0.060304178138001784,0.19941979432457949,-0.4019928855223726,2.034357969750669,-0.3355296313327902
42,Tpeak_std,Tpeak_std,obs_Tpeak_std,Tpeak,std,mV,1594,0.8258917509561656,0.0,0.8955177429235979,0.0,0.14402795951944794,0.07113111846003967,0.1848860099799247,0.09721590860813563,-0.04085805046047678,0.05557301444259508,-0.14978115876796314,0.06806505784700959,0.21784621661497272,-0.42028152640294847,2.240849463158152,-0.3386676811794043
42,Tpeak_maxabs,Tpeak_maxabs,obs_Tpeak_maxabs,Tpeak,maxabs,mV,1594,0.8214244801595443,0.0,0.8665914239126761,0.0,0.3423406827534505,0.191528767604495,0.46658314441217064,0.2621979244753319,-0.12424246165872019,0.15142555827311266,-0.421036555874021,0.1725516325565806,0.5935881884306016,-0.4738499052093342,2.2638935438501058,-0.3412343249122027
42,Tpeak_range,Tpeak_range,obs_Tpeak_range,Tpeak,range,mV,1594,0.830345551697242,0.0,0.8967011385588647,0.0,0.460810694119197,0.23334369890220175,0.6433221507904642,0.32689562273879347,-0.18251145667126728,0.18610243747570748,-0.547272234123654,0.18224932078111938,0.7295215549047733,-0.5583172241406957,2.2316651070231637,-0.3639862824639073
42,Tptime_mean,Tptime_mean,obs_Tptime_mean,Tptime,mean,ms,1594,0.4467136769795689,5.0404871738656734e-79,0.5178595770279311,4.491994317116237e-110,274.60790464240904,39.375670097949076,254.52530322040985,31.027856740452556,20.082601421999165,37.70454860879585,-53.818313851240696,93.98351669523902,147.80183054647972,0.6472442357198486,4.763520464298881,0.32608202493851957
42,Tptime_std,Tptime_std,obs_Tptime_std,Tptime,std,ms,1594,0.331304808921897,3.846165836092368e-42,0.3418915592174574,6.206167605008567e-45,66.88152795998032,25.532808088421206,33.881241804517,22.25822744795414,33.000286155463314,27.762960217362615,-21.415115870567412,87.41568818149403,108.83080405206145,1.4826106990157712,4.889464100703338,0.20538504566920546
42,Tptime_maxabs,Tptime_maxabs,obs_Tptime_maxabs,Tptime,maxabs,ms,1594,0.09828777051734951,8.474325850675795e-05,0.1338012357743456,8.233269057920411e-08,398.7076537013802,62.17615543133474,314.5796737766625,62.684096132842505,84.12797992471769,83.83928476475249,-80.19701821419719,248.45297806363257,328.64999627782976,1.3420944883121628,5.24295661185482,-0.014815856112791487
42,Tptime_range,Tptime_range,obs_Tptime_range,Tptime,range,ms,1594,0.20520835551277516,1.287638772294759e-16,0.24484745612657496,3.434709894805395e-23,209.93726474278546,63.0785524809937,118.24341279799248,70.24788660004651,91.69385194479297,84.23216429257792,-73.40119006865974,256.7888939582457,330.1900840269054,1.30528982981151,4.700356124687839,-0.1781283531657172
42,Tarea_mean,Tarea_mean,obs_Tarea_mean,Tarea,mean,mV*s,1594,0.9006389942915376,0.0,0.9092393538367685,0.0,0.008412354723526349,0.007008387007712806,0.010837868390284819,0.008392654004584867,-0.0024255136667584694,0.0036884710392196037,-0.009654916903628893,0.004803889570111954,0.014458806473740846,-0.28900436803821805,1.7227931076203153,-0.18908050997029632
42,Tarea_std,Tarea_std,obs_Tarea_std,Tarea,std,mV*s,1594,0.9170258281752152,0.0,0.8707653538420874,0.0,0.013407565937390214,0.01011201760689358,0.015577377553764116,0.010303997411850263,-0.0021698116163739022,0.004162656806984926,-0.010328618958064356,0.005988995725316552,0.01631761468338091,-0.21057959640774743,1.583619835212167,-0.01962071974828169
