group,n,unsorted_cv_mean,unsorted_cv_max,sorted_cv_mean,sorted_cv_max,cv_reduction_by_sorting
edge_prox,2,0.6220521823136173,0.8262181519181561,0.6066582762750031,0.8353938131217734,0.015393906038614125
edge_leaf,5,0.6222656158076566,0.6627140050247727,0.6155024047251799,0.6459397427601511,0.006763211082476683
APD,8,0.4142760604978276,0.7367811591519163,0.26453617265459073,0.49677067389466334,0.14973988784323689
tau_dep,8,0.42798750699631927,0.8163845376113661,0.29355513684881623,0.8163845376113661,0.13443237014750303
tau_rep,8,0.4019583564402407,0.6929765298128572,0.256899227891077,0.48753247634286634,0.1450591285491637
q,8,0.43371040427067065,0.8165172236482926,0.24277736539904873,0.4040511136504712,0.1909330388716219
alpha_ST,6,0.40173595202226015,0.7103873284200888,0.2418877258918215,0.3365613638739712,0.15984822613043864
