seed,window,t_lo_s,t_hi_s,n_samples,median_nrmse,median_signal_rms_scaled,median_resid_rms_scaled,median_signal_rms_mV,median_resid_rms_mV,median_windowed_corr,frac_records_nrmse_gt1
42,P,-0.3,-0.1,21,1.6281366348266602,0.6148653626441956,1.009885311126709,0.045882754027843475,0.06515452265739441,0.3150679278387008,0.9899623588456713
42,QRS,-0.06,0.1,16,0.24365410208702087,4.926291465759277,1.1688332557678223,0.32323893904685974,0.08423322439193726,0.9660137226013825,0.0
42,ST,0.06,0.14,8,0.4895671308040619,0.6849847435951233,0.3266189396381378,0.058322519063949585,0.02171851322054863,0.4368670078819417,0.01191969887076537
42,T,0.12,0.45,33,0.4478045403957367,1.5527257919311523,0.6766577959060669,0.10517606139183044,0.048569515347480774,0.8651911354046697,0.003136762860727729
1,P,-0.3,-0.1,21,1.3803513050079346,0.6148653626441956,0.8626127243041992,0.045882754027843475,0.05316480994224548,0.1935675980891912,0.9523212045169385
1,QRS,-0.06,0.1,16,0.23086634278297424,4.926291465759277,1.1104545593261719,0.32323893904685974,0.07863354682922363,0.9689193048625195,0.0006273525721455458
1,ST,0.06,0.14,8,0.5030704736709595,0.6849847435951233,0.3321852385997772,0.058322519063949585,0.02316458895802498,0.485024333505225,0.015683814303638646
1,T,0.12,0.45,33,0.4248290956020355,1.5527257919311523,0.644967794418335,0.10517606139183044,0.04486219957470894,0.8810204181082913,0.002509410288582183
2,P,-0.3,-0.1,21,1.0086004734039307,0.6148653626441956,0.6145285367965698,0.045882754027843475,0.038200005888938904,-0.29963892561670724,0.5589711417816813
2,QRS,-0.06,0.1,16,0.23912405967712402,4.926291465759277,1.144603967666626,0.32323893904685974,0.08202844858169556,0.9660033163465591,0.0012547051442910915
2,ST,0.06,0.14,8,0.46527332067489624,0.6849847435951233,0.308707594871521,0.058322519063949585,0.020643513649702072,0.5938030614847053,0.015683814303638646
2,T,0.12,0.45,33,0.4806092381477356,1.5527257919311523,0.7351987957954407,0.10517606139183044,0.052699558436870575,0.8595560869129171,0.00439146800501882
3,P,-0.3,-0.1,21,1.1390624046325684,0.6148653626441956,0.6949443221092224,0.045882754027843475,0.04654090479016304,-0.0003092250547016122,0.7998745294855709
3,QRS,-0.06,0.1,16,0.24965901672840118,4.926291465759277,1.1920981407165527,0.32323893904685974,0.08405573666095734,0.9627538198879961,0.0018820577164366374
3,ST,0.06,0.14,8,0.5202412009239197,0.6849847435951233,0.3448706269264221,0.058322519063949585,0.023105202242732048,0.5616374688916954,0.024466750313676285
3,T,0.12,0.45,33,0.45471277832984924,1.5527257919311523,0.6958487033843994,0.10517606139183044,0.05019272118806839,0.8804409295354041,0.00439146800501882
4,P,-0.3,-0.1,21,1.3640260696411133,0.6148653626441956,0.8477583527565002,0.045882754027843475,0.05539996176958084,0.336674026624304,0.9491844416562107
4,QRS,-0.06,0.1,16,0.2378074824810028,4.926291465759277,1.1347784996032715,0.32323893904685974,0.08111158013343811,0.966092760474996,0.0012547051442910915
4,ST,0.06,0.14,8,0.4513128399848938,0.6849847435951233,0.2993882894515991,0.058322519063949585,0.020342692732810974,0.6169873375390937,0.006900878293601004
4,T,0.12,0.45,33,0.4262062907218933,1.5527257919311523,0.6465187072753906,0.10517606139183044,0.046577587723731995,0.8698426048061965,0.0012547051442910915
