,NORM,MI,STTC,CD
NORM,6.723094525588644,2.345207879911715,3.5355339059327378,2.16794833886788
MI,4.949747468305833,8.757853618324527,4.47213595499958,3.1144823004794873
STTC,2.8809720581775866,2.588435821108957,4.277849927241488,0.44721359549995804
CD,1.4832396974191326,1.0954451150103321,1.3038404810405297,1.816590212458495
