lead_set,table6_frozen_teacher_auroc,teacher_stock_auroc,teacher_stock_ci,teacher_stock_obs_corr,teacher_stock_full12_nrmse,teacher_stock_effrank,teacher_stable_auroc,teacher_stable_ci,teacher_stable_obs_corr,teacher_stable_full12_nrmse,teacher_stable_effrank,obs_stock_auroc,obs_stock_ci,obs_stock_obs_corr,obs_stock_full12_nrmse,obs_stock_effrank,obs_stable_auroc,obs_stable_ci,obs_stable_obs_corr,obs_stable_full12_nrmse,obs_stable_effrank,teacher_optimism_stable,teacher_optimism_stock,obs_stable_minus_table6,obs_stable_inside_table6_ci
II+V1+V5,0.8871095212724889,0.8871095212724889,"[0.871,0.902]",0.9183035624765804,0.483286440372467,3.0101876258850098,0.8898662016435449,"[0.875,0.905]",0.9293569097519578,0.4761174917221069,2.696351289749145,0.8891362815787045,"[0.873,0.904]",0.9419746484759056,0.5704345703125,2.56499981880188,0.8944538697482158,"[0.878,0.909]",0.937541809318078,0.5722275972366333,2.974882125854492,-0.004587668104670928,-0.0020267603062156248,0.007344348475726958,True
I+V1+V4,0.8780879032570988,0.8780879032570988,"[0.862,0.893]",0.9264695634227368,0.451780617237091,3.526087760925293,0.8842572194690205,"[0.869,0.898]",0.937605172483456,0.4413684010505676,3.230576515197754,0.8748715917998592,"[0.861,0.889]",0.9337391890484684,0.5456768870353699,2.9340622425079346,0.8771011355494388,"[0.862,0.892]",0.9405196063090546,0.5420834422111511,3.075582265853882,0.007156083919581668,0.0032163114572396623,-0.0009867677076600412,True
II,0.8442931066507506,0.8442931066507506,"[0.826,0.862]",0.917553044808816,0.5753034353256226,1.8751689195632928,0.8570983534181722,"[0.840,0.874]",0.9203134781216517,0.5788645148277283,1.953446626663208,0.8477882159593917,"[0.830,0.865]",0.9577535727475978,2.31740665435791,2.725969076156616,0.8457711565432959,"[0.827,0.865]",0.9585346589797415,2.284587860107422,2.473705768585205,0.011327196874876266,-0.0034951093086410534,0.0014780498925452967,True
