variant,logdet_I+V1+V4,logdet_II+V1+V5,gap,abs_diff_vs_f64,gap_diff_vs_f64,theta_gpu_cpu_max_abs_diff,frozen_internal_same_set_diff,f32_summation_order_spread
f32_gpu,170.6607403077769,160.674133139392,9.986607168384893,-0.0010623643283622641,-0.0008894112315545044,0.0003414154052734375,0.00028681156118182116,0.0
f64_gpu,170.66180267210527,160.67430609248882,9.987496579616447,0.0,0.0,0.0003414154052734375,0.00028681156118182116,0.0
f32_cpu,170.66178425806675,160.67270873537313,9.98907552269361,-1.8414038521541443e-05,0.0015789430771633306,0.0003414154052734375,0.00028681156118182116,0.0
FROZEN_v1fix_ls8_s42_exhaustive,170.6551040375279,160.67890509223994,9.97619894528799,-0.0066986345773614175,-0.011297634328457207,0.0003414154052734375,0.00028681156118182116,0.0
FROZEN_v1fix_ls8_s42_greedy_same_set,170.65481722596672,,,-0.006985446138543239,,0.0003414154052734375,0.00028681156118182116,0.0
