group,n_params,mean_score_s42,mean_score_s1,mean_score_s2,mean_score_s3,mean_score_s4,five_seed_mean,five_seed_sd,rank_at_seed42_1_is_highest,rank_five_seed_mean_1_is_highest
delta_root,1,13.7208292742643,10.780652651985696,3.4300825384865603,7.04363542003152,11.873246087299146,9.369689194413443,4.119480803980387,5,6
edge_prox,2,6.155782844332684,6.80330537063471,11.338249275086499,5.830811307687932,15.372540241838749,9.100137807916115,4.152870585335487,7,7
edge_leaf,5,3.368300051539717,22.952929593573554,43.64449978841469,27.457477346162552,42.27998905515166,27.940639166968435,16.440337096382773,8,1
APD,8,15.729458561692635,15.48553338875162,14.809069273155963,16.496851982413787,17.237984315184825,15.951779504239767,0.9386194031778021,4,4
tau_dep,8,23.1145322232791,21.063802831795954,22.756216912703035,24.8388033501571,24.657402522944025,23.286151568175846,1.5443586518151626,1,2
tau_rep,8,7.770156948393058,8.015130203767718,7.4337591478154215,8.470192267879767,8.361960751858168,8.010239863942827,0.42581026722959986,6,8
q,8,21.78978208508309,18.947691766263066,15.423432462446126,21.021814034040315,16.827723529922693,18.80208877555106,2.70130192551346,2,3
alpha_ST,6,0.3216597763661903,0.33449752338732797,0.2628134184814199,0.32916997206461074,0.20694502097289758,0.29101714225448927,0.05511062647696643,9,9
global_gain,1,16.31419101059347,16.018728901329258,15.881076056990445,15.809340008607055,15.59511369443152,15.92368993439035,0.2666353733527261,3,5
