group,seed,drop_renorm,ovr3_all_records,drop_ovr,n_dropped
C0_theta,42,0.923173071951684,0.908984872772424,0.9187639800208744,1338
C0_theta,1,0.9231570343808525,0.909834189139871,0.9188654731228784,1338
C0_theta,2,0.9192888561479582,0.9053535969965028,0.9142676104027299,1338
C0_theta,3,0.9240443073983816,0.9064005305057775,0.9177557541601294,1338
C0_theta,4,0.9239119043010966,0.9094517469739314,0.9195072539156345,1338
C5_theta_rep_st_stab,42,0.9241165079977426,0.9095380877005969,0.9198047369664741,1338
C5_theta_rep_st_stab,1,0.9203419293387013,0.9068537343625532,0.9162105342246104,1338
C5_theta_rep_st_stab,2,0.9194736360384251,0.905123299313721,0.9144728868778547,1338
C5_theta_rep_st_stab,3,0.9202565174124303,0.9041155233784662,0.9148886707681164,1338
C5_theta_rep_st_stab,4,0.9225719245954641,0.9086160599672691,0.9182506933041356,1338
