seed,class,quartile,n,nrmse_lo,nrmse_hi,nrmse_median,corr_median,recall,mean_p_true,median_p_true,frac_pred_NORM,corr_median_mean,corr_median_std,frac_pred_NORM_mean,frac_pred_NORM_std,mean_p_true_mean,mean_p_true_std,median_p_true_mean,median_p_true_std,n_mean,n_std,nrmse_hi_mean,nrmse_hi_std,nrmse_lo_mean,nrmse_lo_std,nrmse_median_mean,nrmse_median_std,quartile_mean,quartile_std,recall_mean,recall_std
42,NORM,1,228.0,0.23770648,0.353447915,0.33370394999999997,0.939086874574266,0.956140350877193,0.8398662209510803,0.9095159769058228,0.956140350877193,,,,,,,,,,,,,,,,,,,,
42,NORM,2,228.0,0.353447915,0.39141198499999996,0.372191505,0.926682403307444,0.9342105263157895,0.8465782999992371,0.918372631072998,0.9342105263157895,,,,,,,,,,,,,,,,,,,,
42,NORM,3,228.0,0.39141198499999996,0.43830869,0.4122617,0.9118252020352928,0.956140350877193,0.864987850189209,0.9355509281158447,0.956140350877193,,,,,,,,,,,,,,,,,,,,
42,NORM,4,228.0,0.43830869,0.9981966,0.49636265,0.8713571200449999,0.8903508771929824,0.7675054669380188,0.8561429977416992,0.8903508771929824,,,,,,,,,,,,,,,,,,,,
42,MI,1,64.0,0.25677437,0.36668910499999996,0.339710165,0.9338445306768838,0.390625,0.3891766667366028,0.23984438180923462,0.546875,,,,,,,,,,,,,,,,,,,,
42,MI,2,64.0,0.36668910499999996,0.437040725,0.39534060000000004,0.9092131670385339,0.40625,0.39046579599380493,0.2813509404659271,0.515625,,,,,,,,,,,,,,,,,,,,
42,MI,3,64.0,0.437040725,0.538513,0.47534308000000003,0.8716296612371424,0.484375,0.4633032977581024,0.42942726612091064,0.34375,,,,,,,,,,,,,,,,,,,,
42,MI,4,64.0,0.538513,1.0396415,0.67928502,0.7269321943094866,0.671875,0.5316395163536072,0.560543417930603,0.109375,,,,,,,,,,,,,,,,,,,,
42,STTC,1,61.0,0.23303328,0.3541631,0.32139206,0.9394192064124964,0.6065573770491803,0.5418897271156311,0.6010985374450684,0.29508196721311475,,,,,,,,,,,,,,,,,,,,
42,STTC,2,60.0,0.3541631,0.403047115,0.37668347999999996,0.9218740629721096,0.6333333333333333,0.5547969937324524,0.6531435251235962,0.3,,,,,,,,,,,,,,,,,,,,
42,STTC,3,60.0,0.403047115,0.48123951249999997,0.435798235,0.9010037175092342,0.5833333333333334,0.48875296115875244,0.5522682070732117,0.3,,,,,,,,,,,,,,,,,,,,
42,STTC,4,61.0,0.48123951249999997,1.0329325,0.63994676,0.7694786780474637,0.6065573770491803,0.5421674847602844,0.6516762971878052,0.2786885245901639,,,,,,,,,,,,,,,,,,,,
42,CD,1,46.0,0.22692193,0.37253373,0.32493513,0.9270860182336764,0.6304347826086957,0.6188271045684814,0.829634964466095,0.32608695652173914,,,,,,,,,,,,,,,,,,,,
42,CD,2,46.0,0.37253373,0.44516011,0.40900103,0.9062416487932095,0.41304347826086957,0.43832045793533325,0.3140406310558319,0.4782608695652174,,,,,,,,,,,,,,,,,,,,
42,CD,3,46.0,0.44516011,0.5989643649999999,0.48686642,0.8760492492431724,0.5434782608695652,0.5056866407394409,0.4830760359764099,0.41304347826086957,,,,,,,,,,,,,,,,,,,,
42,CD,4,46.0,0.5989643649999999,1.0334979,0.71358385,0.6969096111013728,0.7608695652173914,0.740948498249054,0.9917076826095581,0.15217391304347827,,,,,,,,,,,,,,,,,,,,
1,NORM,1,228.0,0.200914,0.3231278375,0.3039707,0.9474288676597948,0.9605263157894737,0.8503596186637878,0.9194656610488892,0.9605263157894737,,,,,,,,,,,,,,,,,,,,
1,NORM,2,228.0,0.3231278375,0.365347565,0.3461152,0.9321501879097892,0.9298245614035088,0.8397555351257324,0.9241483211517334,0.9298245614035088,,,,,,,,,,,,,,,,,,,,
1,NORM,3,228.0,0.365347565,0.414070595,0.385204135,0.9199374671255377,0.9780701754385965,0.8768417239189148,0.9424551725387573,0.9780701754385965,,,,,,,,,,,,,,,,,,,,
1,NORM,4,228.0,0.414070595,0.9581958,0.47648814500000003,0.8803487414893246,0.8508771929824561,0.7519638538360596,0.8540394902229309,0.8508771929824561,,,,,,,,,,,,,,,,,,,,
1,MI,1,64.0,0.23986563,0.34648269249999997,0.31838754,0.9404097034329137,0.375,0.3893897533416748,0.2859104573726654,0.515625,,,,,,,,,,,,,,,,,,,,
1,MI,2,64.0,0.34648269249999997,0.41516768,0.37664142,0.9152211122815346,0.375,0.3966186046600342,0.3106127977371216,0.546875,,,,,,,,,,,,,,,,,,,,
1,MI,3,64.0,0.41516768,0.50355122,0.45140782,0.8800542935731785,0.453125,0.45515644550323486,0.4034309983253479,0.375,,,,,,,,,,,,,,,,,,,,
1,MI,4,64.0,0.50355122,0.9639938,0.67255825,0.7341323532277597,0.5625,0.5349869132041931,0.4625805616378784,0.234375,,,,,,,,,,,,,,,,,,,,
1,STTC,1,61.0,0.19984785,0.32410068999999997,0.28977233,0.948180265363157,0.7049180327868853,0.5721487998962402,0.6364548802375793,0.2459016393442623,,,,,,,,,,,,,,,,,,,,
1,STTC,2,60.0,0.32410068999999997,0.37820463000000004,0.351367325,0.9308576233026846,0.6833333333333333,0.5848003029823303,0.6121849417686462,0.23333333333333334,,,,,,,,,,,,,,,,,,,,
1,STTC,3,60.0,0.37820463000000004,0.46202145,0.41241443499999997,0.9078780428376806,0.65,0.5244444608688354,0.5641745328903198,0.25,,,,,,,,,,,,,,,,,,,,
1,STTC,4,61.0,0.46202145,0.9642436,0.6270974,0.7855578267384139,0.5737704918032787,0.48670855164527893,0.5705315470695496,0.32786885245901637,,,,,,,,,,,,,,,,,,,,
1,CD,1,46.0,0.22813748,0.3573937075,0.31424726000000003,0.9302167679612531,0.6521739130434783,0.5952015519142151,0.7496044635772705,0.32608695652173914,,,,,,,,,,,,,,,,,,,,
1,CD,2,46.0,0.3573937075,0.42650500999999996,0.39057213,0.9167970234745417,0.391304347826087,0.39925259351730347,0.3081260025501251,0.5,,,,,,,,,,,,,,,,,,,,
1,CD,3,46.0,0.42650500999999996,0.5551332,0.465977905,0.8828239792354112,0.5652173913043478,0.535469651222229,0.6547925472259521,0.391304347826087,,,,,,,,,,,,,,,,,,,,
1,CD,4,46.0,0.5551332,1.0243051,0.6969294850000001,0.7048935876657596,0.7608695652173914,0.738919734954834,0.9888734221458435,0.17391304347826086,,,,,,,,,,,,,,,,,,,,
2,NORM,1,228.0,0.21500306,0.33543805,0.31498317,0.947961168734802,0.9605263157894737,0.851851761341095,0.9162594079971313,0.9605263157894737,,,,,,,,,,,,,,,,,,,,
