comparison,metric,n_a,n_b,median_a,median_b,delta_b_minus_a,delta_ci_lo,delta_ci_hi,mannwhitney_u,mannwhitney_p,bootstrap_unit,n_boot
multi_gt1_minus_single,median_nrmse_scaled,1650,508,0.4000701606273651,0.4440124034881592,0.04394224286079407,0.027683965116739272,0.06088326573371887,495233.0,5.662278384632786e-10,patient,1000
multi_gt1_minus_single,median_corr,1650,508,0.9115673053747526,0.8787841575630894,-0.03278314781166325,-0.04225291058831421,-0.024471981071669147,304216.0,8.352581870912478e-21,patient,1000
excluded_minus_clean,median_nrmse_scaled,1594,564,0.4009280204772949,0.4364578425884247,0.03552982211112976,0.020569619536399842,0.05125359147787093,514657.0,3.014536507462433e-07,patient,1000
excluded_minus_clean,median_corr,1594,564,0.9115179718087121,0.8817122784850154,-0.029805693323696647,-0.039056920155015204,-0.020625475714742332,337658.0,1.4359609379164042e-18,patient,1000
