seed,n_subset,max_abs_diff,max_rel_diff,worst_param
42,400,1.7763568394002505e-15,3.587587547217604e-16,alpha_ST3
1,400,3.552713678800501e-15,3.6273468708972707e-16,alpha_ST3
2,400,7.105427357601002e-15,2.03669649336545e-16,alpha_ST3
3,400,3.552713678800501e-15,3.0368330851168417e-16,alpha_ST3
4,400,7.105427357601002e-15,3.0953516539305515e-16,alpha_ST3
