domain,n_pairs,r_min,r_median,r_max,r_mean
voltage,20,0.8239418526771726,0.8995920105356481,0.951503820779788,0.8955162238475918
voltage-derived (saturating),4,0.4847538461459257,0.7505246482929169,0.8914340343889006,0.719309294280165
polarity,1,0.3703688108201445,0.3703688108201445,0.3703688108201445,0.3703688108201445
shape,8,0.1145945239709655,0.2691675173017358,0.366549008353533,0.2696157153663749
timing,4,0.0700246057330667,0.24534725469042962,0.359682179457562,0.23010032364287197
