seed,noise_model,rank,leads,D_logdet,A_trace_inv,E_lambda_min,n_precordial,contains_II,delta_logdet_vs_rank1,delta_logdet_vs_clinical
3,empirical_sigma_inv,46,II+V1+V5 (clinical),158.2188404865754,523.0429730588094,0.0027731778885201532,2,True,-29.560969853207553,0.0
3,empirical_sigma_inv_norm8,1,V1+V2+V4,178.40887893330643,378.6841314565945,0.004526633273335308,3,False,0.0,29.517785858465345
3,empirical_sigma_inv_norm8,2,V2+V3+V5,177.20003036839194,432.41836219091056,0.004636865471587448,3,False,-1.20884856491449,28.308937293550855
3,empirical_sigma_inv_norm8,3,I+V2+V4,177.01043303548764,398.6499932414277,0.004176744274835187,2,False,-1.3984458978187888,28.119339960646556
3,empirical_sigma_inv_norm8,4,V1+V2+V5,176.65228836358006,380.2156370319023,0.004488083742789293,3,False,-1.7565905697263702,27.761195288738975
3,empirical_sigma_inv_norm8,5,V2+V4+V5,175.23523324445284,425.1325975279039,0.004188635735686273,3,False,-3.1736456888535827,26.344140169611762
3,empirical_sigma_inv_norm8,46,II+V1+V5 (clinical),148.89109307484108,604.383469529358,0.002450494265710412,2,True,-29.517785858465345,0.0
4,identity,1,I+V1+V5,185.48127743078572,490.58979089782275,0.0030824617661637252,2,False,0.0,8.644845134934087
4,identity,2,I+V1+V4,184.1948164530902,515.0721524338041,0.0030378818230024436,2,False,-1.2864609776955263,7.358384157238561
4,identity,3,I+V1+V6,182.53495205560017,499.9659375957949,0.0031044276366310256,2,False,-2.946325375185552,5.698519759748535
4,identity,4,V1+V2+V5,180.14716457306255,514.6295721512173,0.0036072257894061628,3,False,-5.33411285772317,3.310732277210917
4,identity,5,I+V2+V5,178.27180068292097,559.7844359927278,0.002671933642788877,2,False,-7.2094767478647555,1.4353683870693317
4,identity,8,II+V1+V5 (clinical),176.83643229585164,539.4424104214532,0.0031873639115323413,2,True,-8.644845134934087,0.0
4,empirical_sigma_inv,1,V2+V4+V5,192.29223772126375,427.6432939988588,0.004155331048880344,3,False,0.0,24.365919842112447
4,empirical_sigma_inv,2,I+V2+V5,190.27750743632785,442.85833813413853,0.003584201564289949,2,False,-2.0147302849358937,22.351189557176554
4,empirical_sigma_inv,3,I+V2+V4,189.6158986978909,457.1023029223953,0.0036560016757130323,2,False,-2.676339023372833,21.689580818739614
4,empirical_sigma_inv,4,V2+V4+V6,189.26536670823785,438.1421506574414,0.00403659560274851,3,False,-3.0268710130258967,21.33904882908655
4,empirical_sigma_inv,5,V1+V2+V5,188.48888728836758,441.15083361356125,0.004039505004912005,3,False,-3.803350432896167,20.56256940921628
4,empirical_sigma_inv,41,II+V1+V5 (clinical),167.9263178791513,598.6170856372189,0.0026342653596253328,2,True,-24.365919842112447,0.0
4,empirical_sigma_inv_norm8,1,V2+V4+V5,182.94482577711915,504.31981469108786,0.00358112263869145,3,False,0.0,24.33005932723586
4,empirical_sigma_inv_norm8,2,I+V2+V5,180.93302748317447,518.0734299208767,0.003113927559439348,2,False,-2.011798293944679,22.31826103329118
4,empirical_sigma_inv_norm8,3,I+V2+V4,180.27459451364956,535.5595798632442,0.0031726614101666908,2,False,-2.6702312634695886,21.65982806376627
4,empirical_sigma_inv_norm8,4,V2+V4+V6,179.92019354057788,516.1254692695863,0.0034839946771136813,3,False,-3.0246322365412652,21.305427090694593
4,empirical_sigma_inv_norm8,5,V1+V2+V5,179.1443142359859,519.0390567110184,0.0034863746792322035,3,False,-3.800511541133261,20.529547786102597
4,empirical_sigma_inv_norm8,41,II+V1+V5 (clinical),158.6147664498833,690.1630106108663,0.002336861103675317,2,True,-24.33005932723586,0.0
