subset,n,median_nrmse_scaled,mean_nrmse_scaled,nrmse_q25_scaled,nrmse_q75_scaled,median_nrmse_mV,median_corr,mean_corr,corr_q25,corr_q75,qrs_nrmse_scaled,st_nrmse_scaled,t_nrmse_scaled,st_mean_abs_err_scaled,note
fold10_all_ge1_superclass,2158,0.40678471326828003,0.4494447410106659,0.3574182689189911,0.4896438419818878,0.4220276474952698,0.9069299475297348,0.8703615288798214,0.8605935366502752,0.9294541935889122,0.25298094749450684,0.48382872343063354,0.45708292722702026,0.23836082220077515,(a) every fold-10 record with >=1 diagnostic superclass
fold10_multilabel_gt1,508,0.4440124034881592,0.48783639073371887,0.3644287884235382,0.5764371752738953,0.47010695934295654,0.8787841575630894,0.8359378773749223,0.7916411917514251,0.9201017280523914,0.29702916741371155,0.471596896648407,0.5061097741127014,0.3331325352191925,(b) fold-10 records carrying MORE THAN ONE superclass
fold10_single_superclass,1650,0.4000701606273651,0.4376247227191925,0.35595905780792236,0.47087931632995605,0.41319847106933594,0.9115673053747526,0.8809598409795116,0.8746458971204826,0.9316049569114311,0.24365410208702087,0.4863373041152954,0.4474903345108032,0.22209542989730835,reference: exactly 1 superclass
fold10_clean_subset,1594,0.4009280204772949,0.437430739402771,0.3571178913116455,0.4705316126346588,0.41415074467658997,0.9115179718087121,0.8816000674829904,0.8753615176099285,0.9315482417221875,0.24365410208702087,0.4895671308040619,0.4478045403957367,0.2211800515651703,CONTROL: the frozen single-label test set (n must be 1594)
fold10_excluded_by_clean_filter,564,0.4364578425884247,0.4833991825580597,0.3579486906528473,0.5764371752738953,0.457478791475296,0.8817122784850154,0.8385987087850499,0.7937127651954364,0.9232537377890659,0.2906627655029297,0.46113133430480957,0.5007950663566589,0.32116442918777466,records the study's clean filter removed
fold10_card2,398,0.4398869276046753,0.4883303642272949,0.3689287602901459,0.5814940333366394,0.46628713607788086,0.8795970602018031,0.8390052658696548,0.7986060039592708,0.9228455896311024,0.29263296723365784,0.49199289083480835,0.49371659755706787,0.3167117238044739,cardinality exactly 2
fold10_card3plus,110,0.4462050199508667,0.48604926466941833,0.3580154776573181,0.5557618141174316,0.48626095056533813,0.8736269423410403,0.8248395080939807,0.7619591646356432,0.9159087436629958,0.319647878408432,0.4216437339782715,0.545279860496521,0.4057495892047882,cardinality >=3
all_folds_ge1_superclass,21387,0.40567547082901,0.44620925188064575,0.35558098554611206,0.48714137077331543,0.42031094431877136,0.9084544131285922,0.8720894755838213,0.8587753944054622,0.9306895910580048,0.25134748220443726,0.4758801758289337,0.4606438875198364,0.23890481889247894,"whole pool, all folds"
fold10_label_NORM,963,0.39131981134414673,0.4142404794692993,0.35343921184539795,0.4391496181488037,0.40287861227989197,0.9175598512420553,0.9017621575488406,0.8937506520231189,0.934645855422549,0.234700545668602,0.4975786805152893,0.42662471532821655,0.20689243078231812,fold-10 records carrying NORM (any cardinality)
fold10_label_MI,550,0.45015788078308105,0.4949023425579071,0.3694393038749695,0.5888104438781738,0.46763724088668823,0.8756143399660069,0.830083970597232,0.7863082364631829,0.9165114572135056,0.28500890731811523,0.48262205719947815,0.5012977123260498,0.29538893699645996,fold-10 records carrying MI (any cardinality)
fold10_label_STTC,521,0.4215313792228699,0.4607912302017212,0.35693150758743286,0.5280408263206482,0.44647011160850525,0.8995035153715593,0.8610502883082977,0.8371180565006214,0.9282377223108719,0.2629123628139496,0.45314013957977295,0.5498663187026978,0.2801986038684845,fold-10 records carrying STTC (any cardinality)
fold10_label_CD,496,0.44759494066238403,0.49578407406806946,0.3763478398323059,0.5898208618164062,0.47154897451400757,0.8780532394860345,0.8290822777008625,0.7853768134912605,0.9153924069097592,0.3000132143497467,0.4991822838783264,0.4609729051589966,0.32840627431869507,fold-10 records carrying CD (any cardinality)
fold10_label_HYP,262,0.39967507123947144,0.4637216329574585,0.3397158980369568,0.5456773638725281,0.43091750144958496,0.897069904208304,0.8484832494821675,0.8040788503422065,0.9289114136418228,0.2845490574836731,0.4172961115837097,0.5071805715560913,0.3383588492870331,fold-10 records carrying HYP (any cardinality)
