lead_set,arm,loss_mode,n_leads,C5_macro_auroc,C5_ci_lo,C5_ci_hi,theta_only_macro_auroc,balanced_accuracy,macro_f1,observed_corr,full12_nrmse,fim_effective_rank,table6_frozen_auroc,table6_frozen_ci_lo,table6_frozen_ci_hi,delta_vs_table6_frozen,table6_frozen_fim_effrank_locked,val_sat090,best_epoch,epochs_run,diverged
12 leads,locked_main,,12,0.9014108235762696,0.887263639318269,0.9154638653854968,0.9010929847362688,0.6542215786459613,0.695127920842443,0.911517971808712,0.4009280204772949,4.362206935882568,0.9014108235762697,0.887263639318269,0.9154638653854968,-1.1102230246251565e-16,4.362206935882568,,0,0,False
II+V1+V5,teacher_stock,full,3,0.8871095212724889,0.8714025054189635,0.9020683833120994,0.888878516945343,0.6478399125269494,0.6879193925782511,0.9183035624765804,0.483286440372467,3.0101876258850098,0.8871095212724889,0.8714025054189635,0.9020683833120994,0.0,3.529778242111206,0.2472665719687938,74,80,False
II+V1+V5,teacher_stable,full,3,0.8898662016435449,0.8746010721251615,0.904851332257668,0.8899608992739687,0.6615716564700469,0.7018341060356587,0.9293569097519578,0.4761174917221069,2.696351289749145,0.8871095212724889,0.8714025054189635,0.9020683833120994,0.0027566803710560306,3.529778242111206,0.2173064947128296,40,55,False
II+V1+V5,obs_stock,obs,3,0.8891362815787045,0.8730258003437295,0.9037890260278169,0.8878607770908575,0.6478006668187491,0.6904329912901577,0.9419746484759056,0.5704345703125,2.56499981880188,0.8871095212724889,0.8714025054189635,0.9020683833120994,0.0020267603062156248,3.529778242111206,0.2293840870261192,40,55,False
II+V1+V5,obs_stable,obs,3,0.8944538697482158,0.8784380469786763,0.9086286343786616,0.8929190984844868,0.6467434212988792,0.6841131252752545,0.937541809318078,0.5722275972366333,2.974882125854492,0.8871095212724889,0.8714025054189635,0.9020683833120994,0.007344348475726958,3.529778242111206,0.2181830964982509,62,77,False
I+V1+V4,teacher_stock,full,3,0.8780879032570988,0.8617554597438102,0.8932275103922185,0.8781200659095469,0.617356998366098,0.6559257472783118,0.9264695634227368,0.451780617237091,3.526087760925293,0.8780879032570988,0.8617554597438102,0.8932275103922185,0.0,3.720499038696289,0.2895423546433449,77,80,False
I+V1+V4,teacher_stable,full,3,0.8842572194690205,0.8691020838631281,0.8984558082430286,0.8859658778756192,0.6161916255334707,0.6558736453018277,0.937605172483456,0.4413684010505676,3.230576515197754,0.8780879032570988,0.8617554597438102,0.8932275103922185,0.006169316211921627,3.720499038696289,0.219809953123331,70,80,False
I+V1+V4,obs_stock,obs,3,0.8748715917998592,0.8605442091501597,0.8888748308096803,0.8761167412286271,0.6021369032633123,0.6422761486562383,0.9337391890484684,0.5456768870353699,2.9340622425079346,0.8780879032570988,0.8617554597438102,0.8932275103922185,-0.0032163114572396623,3.720499038696289,0.2591644674539566,34,49,False
I+V1+V4,obs_stable,obs,3,0.8771011355494388,0.8623897789842806,0.8917919353435301,0.8772464266444171,0.5999535306190151,0.6393943582548187,0.9405196063090546,0.5420834422111511,3.075582265853882,0.8780879032570988,0.8617554597438102,0.8932275103922185,-0.0009867677076600412,3.720499038696289,0.2649376392364502,43,58,False
II,teacher_stock,full,1,0.8442931066507506,0.8258282333212292,0.8621974157150641,0.8430490026896411,0.5706791503355271,0.608104331103875,0.917553044808816,0.5753034353256226,1.8751689195632928,0.8442931066507506,0.8258282333212292,0.8621974157150641,0.0,2.842212438583374,0.2756764590740204,27,42,False
II,teacher_stable,full,1,0.8570983534181722,0.8396407968541678,0.8743778801377731,0.8559555472898184,0.5799018609816178,0.6174499691672564,0.9203134781216517,0.5788645148277283,1.953446626663208,0.8442931066507506,0.8258282333212292,0.8621974157150641,0.012805246767421563,2.842212438583374,0.24005888402462,26,41,False
II,obs_stock,obs,1,0.8477882159593917,0.8296783016205417,0.8653349895575265,0.8487970797746492,0.574593945126583,0.613082422605798,0.9577535727475978,2.31740665435791,2.725969076156616,0.8442931066507506,0.8258282333212292,0.8621974157150641,0.0034951093086410534,2.842212438583374,0.167104497551918,49,64,False
II,obs_stable,obs,1,0.8457711565432959,0.8273554356760398,0.8645677969232288,0.8455223236080268,0.5746843549258973,0.6165114904109515,0.9585346589797415,2.284587860107422,2.473705768585205,0.8442931066507506,0.8258282333212292,0.8621974157150641,0.0014780498925452967,2.842212438583374,0.215273343026638,78,80,False
