model,n_test,median_nrmse,median_corr,nrmse_P_window,nrmse_QRS_window,nrmse_ST_window,nrmse_T_window,sd_edge_prox0_s,sd_delta_root_s,frac_q0_at_lower_bound,C5_macro_auroc,C5_auroc_ci_lo,C5_auroc_ci_hi,CD_recall,n_1AVB,recall_1AVB,ident_score_delta_root,ident_score_edge_prox0
locked,1594,0.4009280204772949,0.9115179718087121,1.6281366348266602,0.24365410208702087,0.4895671308040619,0.4478045403957367,0.003999599255621433,0.00333733344450593,0.0037641154328732747,0.9014108235762696,0.887263639318269,0.9154638653854968,0.5869565217391305,17,0.5294117647058824,13.7208292742643,9.992699947960896
"atrial window, weight 0.5",1594,0.3813615143299103,0.9188628041368871,0.9564884901046753,0.2487052083015442,0.5022813081741333,0.48424118757247925,0.004174456465989351,0.004627083893865347,0.18946047678795483,0.8983936490221887,0.8839382272657279,0.9126677671908758,0.5760869565217391,17,0.5294117647058824,3.676735451528217,4.168464557771377
"atrial window, weight 2.0",1594,0.3693983256816864,0.9222345977210893,0.8820961713790894,0.24201762676239014,0.4449390172958374,0.4978138208389282,0.003911877516657114,0.0026582847349345684,0.8870765370138017,0.903356841980614,0.8895204384091184,0.916359220492664,0.6086956521739131,17,0.5294117647058824,2.006027822967535,2.4720680235337333
