a,b,corr_seed42,abs_corr_min_over_seeds,abs_corr_mean_over_seeds,sign
edge_leaf0,edge_leaf1,0.9957568692786932,0.781879634273064,0.9007939447377004,positive
edge_leaf0,edge_leaf4,0.9970932451131391,0.6272139678029218,0.8813859092272864,positive
edge_leaf1,edge_leaf4,0.9991383471739895,0.5949315064472149,0.8507937970929242,positive
delta_root,edge_prox0,-0.5931832899826476,0.5931832899826476,0.8055839780619571,negative
edge_leaf1,edge_leaf2,0.9991927929275755,0.5874383813776989,0.84215951241268,positive
