seed,quartile,n,nrmse_lo,nrmse_hi,nrmse_median,corr_median,macro_auroc,balanced_accuracy,accuracy,mean_p_true,recall_NORM,n_NORM,recall_MI,n_MI,recall_STTC,n_STTC,recall_CD,n_CD,frac_NORM,frac_MI,frac_STTC,frac_CD,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,corr_median_mean,corr_median_std,frac_CD_mean,frac_CD_std,frac_MI_mean,frac_MI_std,frac_NORM_mean,frac_NORM_std,frac_STTC_mean,frac_STTC_std,macro_auroc_mean,macro_auroc_std,mean_p_true_mean,mean_p_true_std,n_mean,n_std,n_CD_mean,n_CD_std,n_MI_mean,n_MI_std,n_NORM_mean,n_NORM_std,n_STTC_mean,n_STTC_std,nrmse_hi_mean,nrmse_hi_std,nrmse_lo_mean,nrmse_lo_std,nrmse_median_mean,nrmse_median_std,quartile_mean,quartile_std,recall_CD_mean,recall_CD_std,recall_MI_mean,recall_MI_std,recall_NORM_mean,recall_NORM_std,recall_STTC_mean,recall_STTC_std
42,1,399.0,0.22692193,0.35711788499999997,0.33262408,0.9383735950313524,0.9109967154632591,0.6792232029723171,0.8120300751879699,0.7227962017059326,0.9558232931726908,249.0,0.36,50.0,0.6363636363636364,66.0,0.7647058823529411,34.0,0.6240601503759399,0.12531328320802004,0.16541353383458646,0.08521303258145363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,398.0,0.35711788499999997,0.40092802,0.378581,0.9232668587004267,0.8774963368451868,0.5977896149651875,0.7864321608040201,0.7207655906677246,0.9351145038167938,262.0,0.42857142857142855,56.0,0.6346153846153846,52.0,0.39285714285714285,28.0,0.6582914572864321,0.1407035175879397,0.1306532663316583,0.07035175879396985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3,398.0,0.40092802,0.47053160250000003,0.43015846999999996,0.9052398891594367,0.8860400935281547,0.572551948051948,0.7638190954773869,0.6942106485366821,0.948,250.0,0.42857142857142855,49.0,0.5272727272727272,55.0,0.38636363636363635,44.0,0.628140703517588,0.12311557788944724,0.13819095477386933,0.11055276381909548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,4,399.0,0.47053160250000003,1.0396415,0.590935,0.809301634783135,0.9037765873084371,0.7008824174184678,0.7293233082706767,0.635211706161499,0.8741721854304636,151.0,0.6138613861386139,101.0,0.6231884057971014,69.0,0.6923076923076923,78.0,0.37844611528822053,0.2531328320802005,0.17293233082706766,0.19548872180451127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,399.0,0.19984785,0.329130305,0.30607185,0.9463761267841178,0.9274482040101935,0.7086382666291093,0.8370927318295739,0.7408318519592285,0.9571984435797666,257.0,0.34782608695652173,46.0,0.7230769230769231,65.0,0.8064516129032258,31.0,0.6441102756892231,0.11528822055137844,0.16290726817042606,0.07769423558897243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,398.0,0.329130305,0.37687954,0.353353425,0.9297636896216535,0.871015148721427,0.5838127397114506,0.7889447236180904,0.7164538502693176,0.946360153256705,261.0,0.4117647058823529,51.0,0.6545454545454545,55.0,0.3225806451612903,31.0,0.6557788944723618,0.12814070351758794,0.13819095477386933,0.07788944723618091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,398.0,0.37687954,0.446768715,0.404261415,0.910054497521105,0.8868766607234613,0.601464734044044,0.7713567839195979,0.6968656182289124,0.9508196721311475,244.0,0.41379310344827586,58.0,0.6226415094339622,53.0,0.4186046511627907,43.0,0.6130653266331658,0.1457286432160804,0.13316582914572864,0.10804020100502512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,399.0,0.446768715,1.0243051,0.56310683,0.8154975317409306,0.8934332616395007,0.6631019742040247,0.6842105263157895,0.62106853723526,0.82,150.0,0.5148514851485149,101.0,0.6086956521739131,69.0,0.7088607594936709,79.0,0.37593984962406013,0.2531328320802005,0.17293233082706766,0.19799498746867167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,399.0,0.21500306,0.3398022425,0.31517854,0.9464275412966864,0.8965661086367622,0.6772089517625232,0.8195488721804511,0.7346978187561035,0.9523809523809523,252.0,0.32653061224489793,49.0,0.7424242424242424,66.0,0.6875,32.0,0.631578947368421,0.12280701754385964,0.16541353383458646,0.08020050125313283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,398.0,0.3398022425,0.38341511500000003,0.361437695,0.9313712075054545,0.8780912865220207,0.6132092709418593,0.8115577889447236,0.7225580811500549,0.9618320610687023,262.0,0.45098039215686275,51.0,0.6607142857142857,56.0,0.3793103448275862,29.0,0.6582914572864321,0.12814070351758794,0.1407035175879397,0.0728643216080402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
