k,exhaustive_best_D,exhaustive_set,greedy_D,near_opt_gap
2,164.34947204589844,III+V1,164.34947204589844,0.0
3,197.22219848632812,aVL+V1+V4,195.52438354492188,-1.69781494140625
4,208.7648468017578,III+aVL+V1+V4,208.76568603515625,0.0008392333984375
