set,leads,D_logdet,A_trace_inv,E_lambda_min,eff_rank
greedy-3,III+V1+V4,195.52438354492188,323.2012023925781,0.00490221194922924,5.318664073944092
clinical II+V1+V5,II+V1+V5,173.74209594726562,410.79656982421875,0.0035490626469254494,3.4609200954437256
all-12,12,244.9454803466797,116.21241760253906,0.01271938905119896,4.768342971801758
