sigma
1.459049105644226074e+00
1.170051693916320801e+00
5.277089476585388184e-01
4.169221412553270056e-08
3.212376853412024502e-08
2.287896272434863931e-08
9.193084515857208316e-09
8.247726390742116109e-10
