param_group,unobs_energy_bottom5,n_params
alpha_ST,0.7846103310585022,6
APD,0.17520494759082794,8
tau_rep,0.021057385951280594,8
tau_dep,0.017544325441122055,8
delta_root,0.0007687054458074272,1
edge_prox,0.000515974941663444,2
q,0.0002659129386302084,8
edge_leaf,3.2599709811620414e-05,5
global_gain,6.569744527951116e-06,1
