k,added_lead,lead_set,D_logdet,A_trace_inv,E_lambda_min,eff_rank
1,III,III,94.8399887084961,2228.35693359375,0.0013810425298288465,4.902966022491455
2,V1,III+V1,164.34947204589844,920.2749633789062,0.0019324831664562225,5.097815036773682
3,V4,III+V1+V4,195.52438354492188,323.2012023925781,0.00490221194922924,5.318664073944092
4,aVL,III+V1+V4+aVL,208.76568603515625,250.6930389404297,0.006810626946389675,5.4811625480651855
5,V5,III+V1+V4+aVL+V5,217.4376983642578,202.44898986816406,0.0075434548780322075,5.008113861083984
6,V2,III+V1+V4+aVL+V5+V2,224.83999633789062,177.36831665039062,0.0090818852186203,5.152432918548584
