sigma
1.397804021835327148e+00
9.662033915519714355e-01
5.049183368682861328e-01
4.005976350640594319e-08
1.570541741102715605e-08
8.541332086053898820e-09
2.769969587035348013e-09
1.534140314785048531e-10
