k,exhaustive_best_D,exhaustive_set,greedy_D,near_opt_gap
2,150.98194885253906,aVL+V1,150.98109436035156,-0.0008544921875
3,182.8103485107422,aVL+V1+V4,182.80844116210938,-0.0019073486328125
4,193.75152587890625,aVL+V1+V2+V5,193.5756072998047,-0.1759185791015625
