set,leads,D_logdet,A_trace_inv,E_lambda_min,eff_rank
greedy-3,V1+aVL+V4,182.80844116210938,215.90794372558594,0.007390845101326704,4.467003345489502
clinical II+V1+V5,II+V1+V5,160.67160034179688,330.68011474609375,0.006419953890144825,3.5297799110412598
all-12,12,232.012939453125,79.2898941040039,0.020979201421141624,4.362202167510986
