param_group,unobs_energy_bottom5,n_params
alpha_ST,0.8893944621086121,6
APD,0.06321989744901657,8
tau_rep,0.0213443823158741,8
edge_leaf,0.013124202378094196,5
tau_dep,0.007790734060108662,8
edge_prox,0.0046613155864179134,2
q,0.00039244574145413935,8
delta_root,7.438225293299183e-05,1
global_gain,4.431682100403123e-06,1
