split,space,median_nrmse,mean_nrmse,median_corr,mean_corr,qrs_nrmse,st_nrmse,t_nrmse,st_mean_abs_err,boundary_rate,sat090,n
train,scaled,0.3736698031425476,0.4078161418437958,0.9206537579602898,0.8932490042381109,0.22892409563064575,0.4845883846282959,0.42479124665260315,0.22417500615119934,0.11134502963659126,0.19882810777065654,12542
train,physical_mV,0.3763079047203064,0.4131041467189789,0.9206537582205487,0.8932490042733602,0.24960774183273315,0.3937745690345764,0.43018245697021484,0.015114102512598038,0.11134502963659126,0.19882810777065654,12542
val,scaled,0.3812539279460907,0.41680750250816345,0.9164380221641935,0.8881619946206137,0.23415003716945648,0.5010913610458374,0.43405863642692566,0.22249121963977814,0.10929109575144391,0.19815774167805117,1573
val,physical_mV,0.3853699564933777,0.42368295788764954,0.9164380235288431,0.888161994600512,0.2569328248500824,0.4079054296016693,0.44034543633461,0.015170157887041569,0.10929109575144391,0.19815774167805117,1573
test,scaled,0.3768795430660248,0.41349372267723083,0.9183002398556277,0.8894027359007498,0.23086634278297424,0.5030704736709595,0.4248290956020355,0.22659622132778168,0.11333724872527297,0.2015803945647241,1594
test,physical_mV,0.3810202479362488,0.41984352469444275,0.9183002385199404,0.8894027358982832,0.2524787187576294,0.4107378125190735,0.4336271584033966,0.015507148578763008,0.11333724872527297,0.2015803945647241,1594
