lead,median_corr,median_nrmse
I,0.9420849196172758,0.40758752822875977
II,0.906130179734659,0.4749108552932739
III,0.9044884447640096,0.4412255883216858
aVR,0.9323338203883422,0.4198092222213745
aVL,0.9331827224320188,0.3988901376724243
aVF,0.879824650760361,0.5173317193984985
V1,0.9497511910554342,0.3966444134712219
V2,0.9537210526157172,0.36196184158325195
V3,0.9481874857598247,0.37077265977859497
V4,0.9520674282656132,0.3836849331855774
V5,0.9582804564275755,0.36769580841064453
V6,0.9563003216766581,0.37235939502716064
