arm,space,median_nrmse,mean_nrmse,median_corr,mean_corr,qrs_nrmse,st_nrmse,t_nrmse,st_mean_abs_err,theta_boundary_rate,n,epochs
encoder,scaled,0.4009280204772949,0.4374307692050934,0.9115179718087121,0.8815999961826044,0.24365410208702087,0.4895671308040619,0.4478045403957367,0.2211800515651703,0.12740595638751984,1594,0
encoder,physical_mV,0.41415074467658997,0.45217105746269226,0.9115179715038186,0.8815999961481947,0.27156972885131836,0.38719016313552856,0.4724683165550232,0.01426861435174942,0.12740595638751984,1594,0
oracle_refit_H,scaled,0.2954614758491516,0.3382765054702759,0.9486929152161154,0.9232225120580994,0.20273956656455994,0.3445083498954773,0.30621466040611267,0.14405375719070435,0.1199578195810318,1594,9075
oracle_refit_H,physical_mV,0.3122069239616394,0.35418233275413513,0.9486929143404417,0.9232225120390993,0.22801946103572845,0.2789408564567566,0.33291685581207275,0.00978061929345131,0.1199578195810318,1594,9075
oracle_fixed_H,scaled,0.3929494023323059,0.4254446029663086,0.9171706496828946,0.8912311722373029,0.22353088855743408,0.41078537702560425,0.4149468243122101,0.15903306007385254,0.1355348527431488,1594,200
oracle_fixed_H,physical_mV,0.4021117687225342,0.4389180541038513,0.9171706501595922,0.8912311721895432,0.24608904123306274,0.3260480761528015,0.4336364269256592,0.010732632130384445,0.1355348527431488,1594,200
oracle_fixed_H_center,scaled,0.3902254104614258,0.42313262820243835,0.9206524076678487,0.8954240903734871,0.21691851317882538,0.40485259890556335,0.41176483035087585,0.16309420764446259,0.1412344127893448,1594,1175
oracle_fixed_H_center,physical_mV,0.4076417088508606,0.4393768608570099,0.9206524075085791,0.8954240903232378,0.24047604203224182,0.33068323135375977,0.43324968218803406,0.011073004454374313,0.1412344127893448,1594,1175
