split,class,median_nrmse,median_corr,n
val,NORM,0.37068164348602295,0.9270268901250571,914
val,MI,0.43805620074272156,0.8929891396487141,233
val,STTC,0.4001906216144562,0.9190278037812624,255
val,CD,0.41287243366241455,0.9027407886317098,171
test,NORM,0.3730589747428894,0.925966129994549,912
test,MI,0.4131762981414795,0.9010106209714761,256
test,STTC,0.38200843334198,0.9199701408766119,242
test,CD,0.42150524258613586,0.8994379536908277,184
