lead,median_corr,median_nrmse
I,0.9422688678048761,0.4021182954311371
II,0.91523151032464,0.47086113691329956
III,0.9150262998892793,0.4191991686820984
aVR,0.9369403631062478,0.4129721522331238
aVL,0.937409811361199,0.39704275131225586
aVF,0.896051857213747,0.496953547000885
V1,0.9558572550057238,0.36577296257019043
V2,0.938203714739906,0.40539005398750305
V3,0.9257968182142704,0.42401206493377686
V4,0.940922484911749,0.40640369057655334
V5,0.9521597920828615,0.3768303096294403
V6,0.9565602385976915,0.37182414531707764
