feature_group,n_features,classifier,macro_auroc,macro_auprc,macro_f1,balanced_accuracy,multiclass_brier,toplabel_ece,auroc_ci_lo,auroc_ci_hi,bootstrap_unit,n_boot
C0_theta,47,logreg,0.8937119879072706,0.7521206759082967,0.6868976648924097,0.7068905441322945,0.3827372525159766,0.04274277643549522,0.8781187637555516,0.9081966927889055,patient,1000
C0_theta,47,xgboost,0.896741786612517,0.7671278145555158,0.6935297199389789,0.6516118898772938,0.32663978746549127,0.033650232976772276,0.8808713415289219,0.9108573919838369,patient,1000
C1_theta_old,52,logreg,0.8926400676444597,0.7496350433778205,0.6865505210199352,0.7064622272463296,0.38469547005239635,0.04099516038817334,0.877528574465092,0.9070975500572978,patient,1000
C1_theta_old,52,xgboost,0.8966149821870626,0.7680244015044905,0.6896521563238437,0.6491002076458101,0.32883302977748574,0.048956104511000124,0.8813204052050343,0.9108766756606635,patient,1000
C2_theta_rep,63,logreg,0.8929135522109186,0.752554444479876,0.6775405102787847,0.6981876128798912,0.38362076881904855,0.03046411583122459,0.8781683758209219,0.9072117643925648,patient,1000
C2_theta_rep,63,xgboost,0.8939617287344309,0.7650541531898822,0.6939038152194185,0.6515553945260542,0.32968535555698053,0.03802828085018671,0.8781282780994152,0.908988313030795,patient,1000
C3_theta_st,53,logreg,0.893167062787872,0.75066593323337,0.6868196652032913,0.7071749785567607,0.38366229309484146,0.044296317696817716,0.8775711449840837,0.9079310233109774,patient,1000
C3_theta_st,53,xgboost,0.898493561810086,0.7694356343177668,0.6948472506422085,0.653245059239288,0.32586534818963864,0.03718311303158477,0.8831820984272442,0.9124984827452497,patient,1000
C4_theta_stab,49,logreg,0.8934071901242968,0.7516318149955177,0.685131033425636,0.7049374191322945,0.38323710709854997,0.03985662430774302,0.8781526363797745,0.907730428038637,patient,1000
C4_theta_stab,49,xgboost,0.8965923537041475,0.7658089090618275,0.6989677767237332,0.6558091614245483,0.3279177835641389,0.043643507858740646,0.8811789756371496,0.9105396035946796,patient,1000
C5_theta_rep_st_stab,71,logreg,0.8921856135779538,0.7505732697282548,0.6762385363908322,0.6979699854241133,0.38448534091801545,0.03301571911488518,0.8776319487304886,0.906715055716083,patient,1000
C5_theta_rep_st_stab,71,xgboost,0.8951280230925194,0.7665618157109535,0.6955319673624183,0.6543754649154327,0.32779811633145756,0.0305732074690284,0.8792498380851471,0.9098071887155702,patient,1000
C6_compact_heuristic,31,logreg,0.887881725038431,0.7387897919986277,0.6639473829676364,0.6922030948592961,0.40025103246440574,0.04410064279362036,0.8718249453355277,0.9026500037174339,patient,1000
C6_compact_heuristic,31,xgboost,0.8916816438004129,0.7493496640561179,0.6930059713805692,0.6478534376753283,0.33804289810651084,0.038519733934809314,0.876168721403722,0.9066268866401646,patient,1000
