lead_set,n_leads,n_samples,effective_rank,rank95,rank99,condition_number,logdet
L12,12,400,4.751255512237549,10,17,999999.9375,254.12855529785156
L3a_II_V1_V5,3,400,3.4494357109069824,8,16,1000000.0,184.02096557617188
L3b_I_II_V5,3,400,3.0951902866363525,6,13,1000000.0,154.7207794189453
L1_II,1,400,2.650449275970459,4,8,1000000.0625,25.627954483032227
