feature_group,class,auroc,auprc,f1,sensitivity,specificity,support
C0_theta,NORM,0.8986388717394659,0.906851047281664,0.8594217347956131,0.9451754385964912,0.6598240469208211,912
C0_theta,MI,0.8677655549327355,0.640105324617509,0.5288461538461539,0.4296875,0.9626307922272048,256
C0_theta,STTC,0.9300485353807033,0.7531705405802499,0.6753246753246753,0.6446280991735537,0.9526627218934911,242
C0_theta,CD,0.8905141843971632,0.7683843457426406,0.7105263157894737,0.5869565217391305,0.9914893617021276,184
C1_theta_old,NORM,0.8977947985800279,0.905990287977355,0.8567149276085871,0.9407894736842105,0.658357771260997,912
C1_theta_old,MI,0.8671904194693574,0.6432753597092977,0.5323741007194245,0.43359375,0.9626307922272048,256
C1_theta_old,STTC,0.9309990708592107,0.7554703613531774,0.6724511930585684,0.640495867768595,0.9526627218934911,242
C1_theta_old,CD,0.8904756398396546,0.7673615969781316,0.6970684039087948,0.5815217391304348,0.9886524822695035,184
C2_theta_rep,NORM,0.8941427753768586,0.9007434420351432,0.8585657370517928,0.9451754385964912,0.656891495601173,912
C2_theta_rep,MI,0.8676984071375187,0.6505604507275189,0.5349397590361445,0.43359375,0.9641255605381166,256
C2_theta_rep,STTC,0.9295044989975059,0.7482508044439604,0.6739130434782609,0.640495867768595,0.9534023668639053,242
C2_theta_rep,CD,0.8845012334258403,0.760661915552906,0.7081967213114754,0.5869565217391305,0.9907801418439717,184
C3_theta_st,NORM,0.9001308715336728,0.9096166101464106,0.8591338974614235,0.9462719298245614,0.656891495601173,912
C3_theta_st,MI,0.8683436098654709,0.644362047911013,0.5304136253041363,0.42578125,0.9656203288490284,256
C3_theta_st,STTC,0.9306261919898284,0.7510974677623072,0.6695842450765864,0.6322314049586777,0.9541420118343196,242
C3_theta_st,CD,0.8948735738513722,0.7726664114513366,0.7202572347266881,0.6086956521739131,0.9893617021276596,184
C4_theta_stab,NORM,0.8976163373977465,0.9060507270607954,0.8633879781420765,0.9528508771929824,0.6598240469208211,912
C4_theta_stab,MI,0.8666298813527653,0.6410717743200272,0.551219512195122,0.44140625,0.9693572496263079,256
C4_theta_stab,STTC,0.9302869333463739,0.7495302972779649,0.6884531590413944,0.6528925619834711,0.9563609467455622,242
C4_theta_stab,CD,0.891836262719704,0.7665828375885225,0.6928104575163399,0.5760869565217391,0.9886524822695035,184
C5_theta_rep_st_stab,NORM,0.8963172686114114,0.9045136318897596,0.8587119321018473,0.9429824561403509,0.6612903225806451,912
C5_theta_rep_st_stab,MI,0.8681655222346787,0.6482105389486836,0.5358851674641149,0.4375,0.9626307922272048,256
C5_theta_rep_st_stab,STTC,0.9302869333463739,0.7507768834169081,0.6797385620915033,0.6446280991735537,0.9548816568047337,242
C5_theta_rep_st_stab,CD,0.8857423681776133,0.7627462085884626,0.7077922077922078,0.592391304347826,0.9893617021276596,184
C6_compact_heuristic,NORM,0.8921740752173688,0.9033583232890205,0.8544554455445544,0.9462719298245614,0.6407624633431085,912
C6_compact_heuristic,MI,0.8678443806053813,0.6429314667891065,0.5520581113801453,0.4453125,0.9678624813153961,256
C6_compact_heuristic,STTC,0.9230433028509952,0.6876350516135797,0.6577181208053692,0.6074380165289256,0.9571005917159763,242
C6_compact_heuristic,CD,0.8836648165279062,0.7634738145327644,0.7077922077922078,0.592391304347826,0.9893617021276596,184
