feature,kw_p,NORM_mean,NORM_std,MI_mean,MI_std,STTC_mean,STTC_std,CD_mean,CD_std,expect,cliffs_delta,direction_ok,fdr_q
D_rep_old_APDdisp,0.12218111072087985,0.20749428868293762,0.03230946883559227,0.21060900390148163,0.03364022821187973,0.2107662558555603,0.03325849398970604,0.20157672464847565,0.05114114657044411,,,,0.12981743014093483
APD_mean,0.00022623986703791324,0.2871286869049072,0.026829738169908524,0.29148048162460327,0.025177739560604095,0.2885228097438812,0.024537961930036545,0.27917078137397766,0.029052913188934326,,,,0.0002747198385460375
APD_disp,0.12218111072087985,0.20749428868293762,0.03230946883559227,0.21060900390148163,0.03364022821187973,0.2107662558555603,0.03325849398970604,0.20157672464847565,0.05114114657044411,,,,0.12981743014093483
APD_cv,0.17421434328947072,0.23767146468162537,0.03927677497267723,0.2379031479358673,0.04593156650662422,0.23162731528282166,0.044707633554935455,0.23977914452552795,0.056587930768728256,,,,0.17421434328947072
tau_rep_mean,2.250570313655076e-44,0.06766705960035324,0.00465253135189414,0.07184568047523499,0.005500327795743942,0.07230988889932632,0.0056251888163387775,0.06986552476882935,0.0060064224526286125,,,,5.465670761733756e-44
tau_rep_disp,6.478388884830823e-101,0.05753049626946449,0.006010537967085838,0.04895182326436043,0.00855960138142109,0.04557868838310242,0.00798183772712946,0.05187582969665527,0.008173195645213127,STTC up vs NORM,-0.7593790778599391,False,1.1013261104212398e-99
tau_rep_cv,2.4264567536363216e-82,0.2955062687397003,0.049375418573617935,0.23963457345962524,0.056812919676303864,0.21925339102745056,0.05549890547990799,0.27165430784225464,0.05588946118950844,,,,2.0624882405908734e-81
Tend_mean,5.0070508100206295e-08,0.41458791494369507,0.03344445303082466,0.427813321352005,0.0334634967148304,0.4255482256412506,0.03421785309910774,0.4197606146335602,0.03684783726930618,,,,7.093321980862559e-08
Tend_disp,1.300221110742501e-21,0.20267169177532196,0.0501876063644886,0.19480948150157928,0.03829512745141983,0.16809090971946716,0.033983681350946426,0.1958862990140915,0.04654228687286377,STTC up vs NORM,-0.40513085399449034,False,2.2103758882622517e-21
Tend_cv,2.7141732005730245e-41,0.17694005370140076,0.03590697795152664,0.16754840314388275,0.03209133818745613,0.14098550379276276,0.028207331895828247,0.16486282646656036,0.03500588983297348,,,,5.767618051217677e-41
Sync_rep,9.13852579804887e-28,0.24252702295780182,0.08054008334875107,0.24838408827781677,0.06750279664993286,0.31098899245262146,0.07861331850290298,0.2634582817554474,0.08965812623500824,STTC down vs NORM,0.4606078729882557,False,1.7261659840758974e-27
Tpeak_maxabs,8.713839970367186e-77,0.3689367473125458,0.14525826275348663,0.2774578034877777,0.13369934260845184,0.18712081015110016,0.09370755404233932,0.48443603515625,0.3552752137184143,STTC down vs NORM,-0.7299913005654632,True,3.703381987406054e-76
Tarea_mean,7.440025022825247e-51,0.0077472273260355,0.005657166242599487,0.006475462578237057,0.0053574382327497005,0.0018873465014621615,0.004014285746961832,0.012185139581561089,0.012378341518342495,,,,2.1080070898004867e-50
Tabsarea_mean,2.3970932489200562e-80,0.024460339918732643,0.008058222010731697,0.018953969702124596,0.0071702320128679276,0.014190303161740303,0.005386394914239645,0.029742619022727013,0.01644918881356716,,,,1.3583528410546985e-79
Tasym_mean,8.448953057550642e-08,0.2018999296641414,0.21077802375839205,0.22665538108181713,0.24172552832678149,0.30904875113039515,0.31780654124376084,0.2610159042686631,0.22095592663703328,,,,1.104863092141238e-07
Tlowamp_mean,3.586316935761849e-70,0.5136716961860657,0.09644993394613266,0.581309974193573,0.1043320894241333,0.6416682004928589,0.08851063251495361,0.47421321272850037,0.13877452909946442,,,,1.2193477581590287e-69
T_sign_discordance_rate,4.614205120971344e-19,0.3287646198830409,0.2040730102783702,0.39518229166666663,0.1898710310616523,0.43112947658402206,0.13727711125450476,0.3577898550724638,0.18122055128008852,STTC up vs NORM,0.35620106568073084,True,7.131044277864804e-19
