param,identifiability_score
q2,63.18549702901378
tau_dep6,47.997110547168205
APD7,38.513768590186544
tau_dep3,35.72894487763199
tau_dep4,33.86727511412607
tau_dep7,32.68140356660034
APD4,30.28803856383482
tau_dep5,29.874604057338104
edge_leaf2,28.123192173236095
edge_leaf0,27.878935105451454
edge_leaf1,27.83830999928494
edge_leaf3,27.44653825201973
edge_leaf4,26.00041120082053
q0,21.06955078097729
APD3,19.536140290378768
APD5,18.323392409733046
q4,17.512778304007277
tau_rep7,17.085745430908048
q6,16.608866039033693
global_gain,15.809340008607057
tau_rep4,14.80585006949483
tau_dep2,14.499168424146154
q1,14.252798280900889
q5,13.43920378430637
APD6,12.0719633971779
q3,11.06088791971149
q7,11.044930134371727
tau_rep5,9.842809007706128
tau_rep3,9.625036503496338
APD2,8.790389680718972
edge_prox0,7.279569816255525
delta_root,7.04363542003152
tau_rep6,5.989527066590314
tau_rep1,5.037106751713703
edge_prox1,4.382052799120339
tau_rep2,3.9506432932380924
APD1,3.2692806401460612
tau_dep1,2.27647678915549
tau_dep0,1.7854434250904396
tau_rep0,1.4248200198906722
APD0,1.181842287134207
alpha_ST0,0.7574709289948
alpha_ST4,0.41480305929328887
alpha_ST2,0.24018138451480014
alpha_ST5,0.2243490600241141
alpha_ST3,0.18279289534650886
alpha_ST1,0.1554225042141529
