set,leads,D_logdet,A_trace_inv,E_lambda_min
optimal-3 (D),I+V1+V5,185.48136760554405,490.590204752843,0.0030824527632577793
clinical II+V1+V5,II+V1+V5,176.83663499556138,539.4431260423632,0.0031873571038031293
