k,criterion,best_set,score,agree_across_DAE
2,D,V1+V5,159.07556860757813,False
2,A,V1+V5,1042.6678494334053,False
2,E,V1+V2,0.0022786931196640352,False
3,D,I+V1+V5,185.48136760554405,False
3,A,I+V1+V5,490.590204752843,False
3,E,V1+V2+V6,0.0036184722631173246,False
4,D,I+V1+V4+V5,197.4507551910994,False
4,A,I+V1+V5+V6,396.40630982368486,False
4,E,V1+V2+V5+V6,0.004201998703796887,False
