split,class,median_nrmse,median_corr,n
val,NORM,0.38953548669815063,0.9168249468091203,914
val,MI,0.465182900428772,0.8787236665185928,233
val,STTC,0.42604970932006836,0.9035754937334065,255
val,CD,0.42721760272979736,0.8934841985853228,171
test,NORM,0.39141198992729187,0.9178493232641518,912
test,MI,0.4370407462120056,0.8913320378155136,256
test,STTC,0.403047114610672,0.9100184176019055,242
test,CD,0.4451600909233093,0.8841920186023295,184
