set,leads,D_logdet,A_trace_inv,E_lambda_min
optimal-3 (D),I+V1+V4,170.65510403752793,254.38322229695402,0.006975661548271571
clinical II+V1+V5,II+V1+V5,160.67890509223994,330.6358169937546,0.006224184475197583
