set,leads,CRB_mean_allparams,CRB_alpha_ST
optimal-3 (D),I+V1+V4,1.1103223659124115,6.174855359144588
clinical II+V1+V5,II+V1+V5,1.3019766999690208,7.050490290208303
all-8 independent,I+II+V1+V2+V3+V4+V5+V6,0.7476307026029333,4.210839078203683
