k,criterion,best_set,score,agree_across_DAE
2,D,V1+V4,147.54380871363026,False
2,A,V1+V5,616.8510214041017,False
2,E,I+V1,0.003572100583095854,False
3,D,I+V1+V4,170.65510403752793,False
3,A,I+V1+V4,254.38322229695402,False
3,E,V1+V2+V5,0.007021596364309069,False
4,D,I+V1+V2+V4,184.1803928159863,False
4,A,I+V1+V2+V4,198.63190784013486,False
4,E,I+V1+V4+V5,0.009262987204638803,False
