lead_set,mean,std
12,4.870182609558105,0.47272205138435675
II+V1+V5,3.6629005908966064,0.3020650190927183
I+II+V5,3.1851563453674316,0.27590210158959816
II,2.7585033416748046,0.16721266303551935
I+V1+V4,4.03914737701416,0.36456028733501367
