class,n,D_opt,A_opt,E_opt,DAE_agree,D_eq_I+V1+V4,best_D_logdet,clinical_logdet,best_minus_clinical
NORM,100,I+V1+V5,V1+V2+V6,I+V1+V2,False,False,152.01629558417412,144.9715413622464,7.044754221927718
MI,100,I+V1+V5,I+V1+V6,V1+V2+V4,False,False,153.1674217983511,146.4708720110795,6.696549787271607
STTC,100,I+V1+V5,I+V1+V6,I+V1+V2,False,False,144.1217797800974,137.00043949212844,7.1213402879689625
CD,100,I+V1+V5,I+V1+V4,I+V1+V4,False,False,192.3380028160598,185.34317860747186,6.994824208587943
